o2-18,BBC World News,BBC World News,https://assets.o2tv.cz/assets/images/tv-logos/original/bbc-world-news.png
o2-145,Bloomberg,Bloomberg,https://assets.o2tv.cz/assets/images/tv-logos/original/bloomberg.png
o2-97,Boomerang,Boomerang,https://assets.o2tv.cz/assets/images/tv-logos/original/boomerang.png
o2-39,Epic Drama HD,Epic Drama HD,https://assets.o2tv.cz/assets/images/tv-logos/original/epic-hd.png
o2-40,Film Europe HD,Film Europe HD,https://assets.o2tv.cz/assets/images/tv-logos/original/film-europe-hd.png
o2-41,FilmEurope+,Film Europe +,https://assets.o2tv.cz/assets/images/tv-logos/original/film-europe-plus.png
o2-100,LalaTV,Lala TV,https://assets.o2tv.cz/assets/images/tv-logos/original/lala-tv.png
o2-9,Nova Action HD,Nova ACTION HD,https://assets.o2tv.cz/assets/images/tv-logos/original/nova-action.png
o2-6,Nova Cinema HD,Nova Cinema HD,https://assets.o2tv.cz/assets/images/tv-logos/original/nova-cinema-hd.png
o2-7,Nova 2 HD,Nova Fun HD,https://assets.o2tv.cz/assets/images/tv-logos/original/nova-2.png
o2-8,Nova Gold HD,Nova GOLD HD,https://assets.o2tv.cz/assets/images/tv-logos/original/nova-gold-hd.png
o2-3,Nova HD,Nova HD,https://assets.o2tv.cz/assets/images/tv-logos/original/nova_202201.png
o2-10,NovaLady,Nova Lady,https://assets.o2tv.cz/assets/images/tv-logos/original/nova-lady.png
o2-77,Nova Sport 1 HD,Nova Sport 1 HD,https://assets.o2tv.cz/assets/images/tv-logos/original/nova-sport-1.png
o2-78,Nova Sport 2 HD,Nova Sport 2 HD,https://assets.o2tv.cz/assets/images/tv-logos/original/nova-sport-2-hd.png
o2-79,NovaSport3HD,Nova Sport 3 HD,https://assets.o2tv.cz/assets/images/tv-logos/original/nova-sport-3.png
o2-80,NovaSport4HD,Nova Sport 4 HD,https://assets.o2tv.cz/assets/images/tv-logos/original/nova-sport-4.png
o2-130,Óčko Expres,Óčko Expres,https://assets.o2tv.cz/assets/images/tv-logos/original/ocko-express.png
o2-122,Óčko,Óčko HD,https://assets.o2tv.cz/assets/images/tv-logos/original/ocko.png
o2-121,Óčko Gold,Óčko Star,https://assets.o2tv.cz/assets/images/tv-logos/original/ocko-star.png
o2-70,O2 Sport HD,O2TV Sport HD,https://assets.o2tv.cz/assets/images/tv-logos/original/o2-sport-hd.png
o2-15,Paramount Network,Paramount Network,https://assets.o2tv.cz/assets/images/tv-logos/original/paramount_network.png
o2-4,Prima HD,Prima HD,https://assets.o2tv.cz/assets/images/tv-logos/original/prima-hd.png
o2-45,PrimaShow,Prima Show,https://assets.o2tv.cz/assets/images/tv-logos/original/prima-show.png
o2-44,PrimaStar,Prima Star,https://assets.o2tv.cz/assets/images/tv-logos/original/prima-star.png
o2-185,Rebel,Rebel,https://assets.o2tv.cz/assets/images/tv-logos/original/rebel.png
o2-129,C Music TV,STINGRAY CMUSIC,https://assets.o2tv.cz/assets/images/tv-logos/original/c-music-tv.png
